stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2168,323-01,"Tondosa","01",50.060620,19.893070,1,,0,,,0
2169,323-02,"Tondosa","02",50.060720,19.891410,1,,0,,,0
2170,324-01,"Lajkonika","01",50.062280,19.888120,1,,0,,,0
2171,324-02,"Lajkonika","02",50.062090,19.888300,1,,0,,,0
2173,325-01,"Strzelnica","01",50.063780,19.883740,1,,0,,,0
2174,325-02,"Strzelnica","02",50.064080,19.882690,1,,0,,,0
2177,326-01,"Sielanka","01",50.065190,19.878240,1,,0,,,0
2178,326-02,"Sielanka","02",50.065380,19.876630,1,,0,,,0
2186,330-01,"Park Decjusza","01",50.066970,19.869900,1,,0,,,0
2187,330-02,"Park Decjusza","02",50.067050,19.869310,1,,0,,,0
2196,334-01,"Chełm","01",50.067820,19.847230,1,,0,,,0
2198,334-04,"Chełm","04",50.067870,19.846310,1,,0,,,0
2208,339-01,"Raczkiewicza","01",50.068750,19.837630,1,,0,,,0
2209,339-02,"Raczkiewicza","02",50.068860,19.837200,1,,0,,,0
2210,340-01,"Leśmiana","01",50.068200,19.832940,1,,0,,,0
2211,340-02,"Leśmiana","02",50.068140,19.832120,1,,0,,,0
2212,341-01,"Olszanica Kapliczka","01",50.068070,19.827890,1,,0,,,0
2213,341-02,"Olszanica Kapliczka","02",50.068200,19.828730,1,,0,,,0
2214,342-01,"Cmentarz Olszanica","01",50.067610,19.824430,1,,0,,,0
2215,342-02,"Cmentarz Olszanica","02",50.067570,19.823730,1,,0,,,0
2216,342-04,"Cmentarz Olszanica","04",50.067700,19.823830,1,,0,,,0
2219,344-01,"Olszanica Bory","01",50.061830,19.805940,1,,0,,,0
2220,344-02,"Olszanica Bory","02",50.062130,19.805010,1,,0,,,0
2229,348-01,"Czarnowiejska","01",50.066540,19.922330,1,,0,,,0
2230,348-02,"Czarnowiejska","02",50.066210,19.922920,1,,0,,,0
2232,349-02,"Kawiory","02",50.068330,19.912950,1,,0,,,0
2234,350-01,"Miasteczko Studenckie AGH","01",50.069620,19.906450,1,,0,,,0
2235,350-02,"Miasteczko Studenckie AGH","02",50.069900,19.905580,1,,0,,,0
2237,350-04,"Miasteczko Studenckie AGH","04",50.069700,19.903700,1,,0,,,0
2238,351-01,"Przybyszewskiego","01",50.070630,19.898990,1,,0,,,0
2239,351-02,"Przybyszewskiego","02",50.071050,19.897740,1,,0,,,0
2243,353-01,"Zarzecze","01",50.076750,19.888640,1,,0,,,0
2244,353-02,"Zarzecze","02",50.077310,19.889300,1,,0,,,0
2273,360-07,"Bronowice Małe","07",50.082200,19.883500,1,,0,,,0
2274,360-08,"Bronowice Małe","08",50.082080,19.883030,1,,0,,,0
2275,362-01,"Giełda Balicka","01",50.081550,19.875590,1,,0,,,0
2279,363-03,"Lindego","03",50.080040,19.870630,1,,0,,,0
2322,382-03,"Szpital Narutowicza","03",50.080960,19.936950,1,,0,,,0
2323,382-04,"Szpital Narutowicza","04",50.080760,19.937040,1,,0,,,0
2326,383-03,"Bratysławska","03",50.082730,19.934650,1,,0,,,0
2327,383-04,"Bratysławska","04",50.083240,19.933900,1,,0,,,0
2339,387-01,"Mehoffera","01",50.089340,19.913770,1,,0,,,0
2340,387-02,"Mehoffera","02",50.089600,19.912650,1,,0,,,0
2344,388-04,"Bronowice SKA","04",50.081580,19.888890,1,,0,,,0
2346,388-06,"Bronowice SKA","06",50.080820,19.890660,1,,0,,,0
2347,388-07,"Bronowice SKA","07",50.081540,19.890550,1,,0,,,0
2348,389-01,"Rondo Ofiar Katynia","01",50.087310,19.892780,1,,0,,,0
2349,389-02,"Rondo Ofiar Katynia","02",50.087680,19.890790,1,,0,,,0
2350,389-03,"Rondo Ofiar Katynia","03",50.086630,19.891060,1,,0,,,0
2351,389-04,"Rondo Ofiar Katynia","04",50.088120,19.892350,1,,0,,,0
2353,390-02,"Katowicka","02",50.090710,19.882170,1,,0,,,0
2355,391-02,"Cmentarz Bronowice","02",50.095630,19.873200,1,,0,,,0
2396,408-01,"Orszy-Broniewskiego","01",50.005710,19.864720,1,,0,,,0
2397,408-02,"Orszy-Broniewskiego","02",50.006490,19.864110,1,,0,,,0
2398,409-01,"Kozienicka","01",50.006050,19.858670,1,,0,,,0
2406,412-02,"Pielęgniarek","02",50.083470,19.936760,1,,0,,,0
2408,413-02,"Lekarska","02",50.086570,19.938260,1,,0,,,0
